brand,car_age,price
Ford,3,42500.00000000003
FIAT,8,14999.000000000004
Cadillac,10,26950.000000000022
Mercedes-Benz,11,28999.999999999996
Ford,4,59203.00000000005
Rivian,2,91000.00000000009
BMW,11,39985.00000000002
Lamborghini,8,210000.0
Ford,3,68995.00000000003
Lexus,4,81899.99999999996
Lexus,10,31899.99999999999
BMW,2,81000.00000000007
Audi,7,25000.000000000007
Audi,22,13849.999999999998
Volkswagen,10,15549.999999999989
Cadillac,2,123999.0000000001
Hyundai,7,19189.99999999999
Toyota,2,35000.00000000001
Ford,2,98900.00000000003
Hyundai,4,28500.0
Nissan,8,20900.000000000015
Lexus,17,14500.000000000004
Cadillac,12,12000.0
Audi,17,62999.99999999995
Jaguar,5,47598.00000000002
Chevrolet,7,31999.999999999993
Ford,4,52000.000000000044
Toyota,14,16000.000000000002
BMW,4,60000.000000000015
Audi,6,42500.00000000003
Toyota,10,18200.00000000001
Porsche,8,31999.999999999993
Lexus,2,47123.999999999985
Mercedes-Benz,5,175000.00000000012
Lexus,14,10400.000000000002
Toyota,4,67999.99999999999
Mercedes-Benz,8,37994.999999999985
BMW,8,41999.99999999999
Chevrolet,7,35999.99999999998
Ford,11,42500.00000000003
Subaru,20,7099.999999999995
Alfa,6,28500.0
Mazda,18,6949.999999999996
Ford,7,36499.99999999998
Mercedes-Benz,4,54598.999999999985
Audi,8,35000.00000000001
RAM,8,46499.999999999985
Tesla,10,29974.99999999999
Audi,8,53500.000000000044
Hyundai,3,28999.999999999996
Audi,9,21999.999999999993
Ford,16,6998.999999999999
INFINITI,10,19977.000000000007
BMW,14,20990.000000000007
Mercedes-Benz,16,4749.999999999996
Ford,6,28590.000000000007
Chevrolet,11,14999.99999999999
Mazda,8,20499.999999999993
Jeep,4,38405.00000000001
MINI,9,17494.999999999996
Saab,23,7500.0000000000055
BMW,6,43000.00000000002
Porsche,4,58998.00000000001
Audi,3,39997.99999999999
GMC,5,29645.0
Audi,20,6500.000000000003
Mercury,21,22999.999999999993
Hyundai,10,12700.0
Audi,7,29999.99999999999
Audi,6,50000.000000000015
Lincoln,17,10098.999999999998
BMW,7,63999.99999999997
Mazda,4,36969.0
Chevrolet,2,78999.00000000006
Ford,8,35999.99999999998
Ford,6,55000.00000000004
Ferrari,3,259499.99999999985
Mercedes-Benz,8,32999.99999999999
Hyundai,6,28000.00000000002
Mercedes-Benz,13,23499.999999999978
Ford,17,12240.00000000001
Mercury,22,15500.00000000001
Ford,4,57000.000000000044
Mercedes-Benz,12,15500.00000000001
Volkswagen,3,38698.00000000002
Chevrolet,19,24949.999999999993
Chevrolet,11,14999.99999999999
Mitsubishi,17,6000.000000000005
Toyota,9,68499.99999999999
Genesis,3,41299.0
Toyota,21,8249.999999999996
Maserati,2,125899.99999999994
Audi,11,44899.99999999997
Nissan,3,28906.000000000007
Porsche,15,28600.000000000022
BMW,4,49999.00000000001
Cadillac,15,19500.0
Volvo,5,27800.000000000025
Mazda,2,40655.00000000001
Chrysler,3,35849.999999999985
Jeep,5,35272.99999999998
Toyota,24,4299.999999999997
Ford,6,38499.99999999997
Ford,51,114999.99999999991
Land,3,44997.99999999998
Mazda,5,17999.999999999993
Kia,10,11899.999999999996
Lexus,16,4499.999999999999
Mitsubishi,9,11970.000000000007
Mercedes-Benz,8,25899.999999999985
Audi,6,27499.99999999998
Audi,10,14998.00000000001
Mercedes-Benz,9,16800.000000000004
INFINITI,14,22449.999999999985
Kia,4,28998.000000000004
BMW,7,30750.000000000004
Mercedes-Benz,22,11899.999999999996
Jeep,22,12499.0
Kia,5,36499.99999999998
Land,13,14489.99999999999
Jaguar,18,21899.999999999993
BMW,5,71994.99999999997
BMW,3,56899.99999999997
Mercedes-Benz,4,83598.00000000006
RAM,3,48189.99999999998
BMW,12,35999.00000000002
Mercedes-Benz,18,12000.0
Jeep,8,16499.999999999993
Toyota,6,35999.99999999998
BMW,3,98900.00000000003
BMW,2,84644.99999999997
BMW,26,36949.99999999998
Maserati,7,41900.00000000003
Acura,4,39650.00000000001
Mercedes-Benz,10,18999.999999999985
Mercedes-Benz,4,44999.999999999985
Cadillac,11,17498.00000000001
Chevrolet,10,19750.0
Porsche,12,22999.999999999993
Dodge,20,12000.0
INFINITI,11,22999.999999999993
Land,5,112000.00000000004
Toyota,18,9249.999999999995
GMC,9,12500.0
Lincoln,4,36998.99999999997
RAM,8,40999.99999999999
RAM,11,40499.99999999998
Mercedes-Benz,12,15900.000000000004
BMW,7,54998.999999999956
Ford,22,24499.99999999998
Acura,3,26599.000000000015
Buick,20,2800.000000000001
Cadillac,12,21999.999999999993
Mercedes-Benz,7,52000.000000000044
INFINITI,9,25950.000000000022
Buick,6,18794.999999999993
Mercedes-Benz,6,43999.0
Jeep,15,5899.999999999995
Mercedes-Benz,14,37000.00000000001
Audi,9,28000.00000000002
Mazda,3,25500.0
Bentley,16,59400.000000000044
Bentley,3,217950.0000000001
Bentley,3,197749.99999999994
Porsche,7,106797.99999999999
